SourceName,DateAccessed,ParentLocation,Location,Period,Dim1,FactValueNumeric
WHO,10/17/2023 10:01,Africa,Lesotho,2019,Female,54.24
WHO,10/17/2023 10:01,Africa,Lesotho,2015,Both sexes,47.67
WHO,10/17/2023 10:01,Africa,Lesotho,2015,Male,45.07
WHO,10/17/2023 10:01,Africa,Lesotho,2015,Female,50.58
WHO,10/17/2023 10:01,Africa,Lesotho,2010,Both sexes,47.38
WHO,10/17/2023 10:01,Africa,Lesotho,2010,Male,44.5
WHO,10/17/2023 10:01,Africa,Lesotho,2010,Female,50.69
WHO,10/17/2023 10:01,Africa,Lesotho,2000,Both sexes,47.82
WHO,10/17/2023 10:01,Africa,Lesotho,2000,Male,45.53
WHO,10/17/2023 10:01,Africa,Lesotho,2000,Female,50.68
WHO,10/17/2023 10:01,Africa,Madagascar,2019,Both sexes,65.35
WHO,10/17/2023 10:01,Africa,Madagascar,2019,Male,64.1
WHO,10/17/2023 10:01,Africa,Madagascar,2019,Female,66.6
WHO,10/17/2023 10:01,Africa,Madagascar,2015,Both sexes,64.19
WHO,10/17/2023 10:01,Africa,Madagascar,2015,Male,62.87
WHO,10/17/2023 10:01,Africa,Madagascar,2015,Female,65.5
WHO,10/17/2023 10:01,Africa,Madagascar,2010,Both sexes,62.79
WHO,10/17/2023 10:01,Africa,Madagascar,2010,Male,61.43
WHO,10/17/2023 10:01,Africa,Madagascar,2010,Female,64.17
WHO,10/17/2023 10:01,Africa,Madagascar,2000,Both sexes,58.82
WHO,10/17/2023 10:01,Africa,Madagascar,2000,Male,57.54
WHO,10/17/2023 10:01,Africa,Madagascar,2000,Female,60.18
WHO,10/17/2023 10:01,Africa,Mali,2019,Both sexes,62.8
WHO,10/17/2023 10:01,Africa,Mali,2019,Male,62.2
WHO,10/17/2023 10:01,Africa,Mali,2019,Female,63.4
WHO,10/17/2023 10:01,Africa,Mali,2015,Both sexes,60.89
WHO,10/17/2023 10:01,Africa,Mali,2015,Male,60.36
WHO,10/17/2023 10:01,Africa,Mali,2015,Female,61.41
WHO,10/17/2023 10:01,Africa,Mali,2010,Both sexes,59.05
WHO,10/17/2023 10:01,Africa,Mali,2010,Male,58.59
WHO,10/17/2023 10:01,Africa,Mali,2010,Female,59.49
WHO,10/17/2023 10:01,Africa,Mali,2000,Both sexes,52.64
WHO,10/17/2023 10:01,Africa,Mali,2000,Male,52.61
